가다,동대문,따뜻하다,먹다,수제비,오늘,,.
0.059041694,0.00031738452,0.004336122,0.0020593652,0.1155965,0.06372375,0.00095507514,0.75397015
0.049369924,0.0002966532,0.0043601077,0.0022657984,0.13197573,0.05028766,0.0009335168,0.7605106
0.049892448,0.00028455185,0.004483029,0.002534952,0.14603002,0.05069298,0.0010085339,0.7450735
0.05132428,0.00030377574,0.0046290704,0.0033715218,0.18415262,0.049392913,0.001081924,0.70574397
0.05384672,0.00036809212,0.005959019,0.0034544973,0.21961227,0.0570557,0.001351872,0.6583518
0.04992016,0.0003724331,0.0057470384,0.0038424297,0.27524418,0.058515675,0.0012554643,0.60510266
0.04110802,0.00036656598,0.006040131,0.0040802485,0.32105276,0.05689623,0.0012571102,0.569199
0.03892136,0.0002962445,0.004956766,0.0037231008,0.28099695,0.045713935,0.0010684221,0.6243232
0.040414013,0.00028915238,0.0051349257,0.004001392,0.27968866,0.048139952,0.0011249419,0.62120694
0.03673992,0.00038379017,0.0066678873,0.0053411433,0.347597,0.06855474,0.0014931926,0.53322244
0.036758516,0.000337427,0.0062613506,0.004778381,0.34904063,0.06258596,0.0014414035,0.53879637
0.03831902,0.00040783925,0.0062840907,0.0047557536,0.31513637,0.08358238,0.0016734721,0.5498411
0.04119229,0.0004075999,0.0060955174,0.004697674,0.27822104,0.09885431,0.0017868261,0.5687448
0.029646948,0.0004362389,0.005957884,0.0043229805,0.31903458,0.13197537,0.002030243,0.50659573
0.01628094,0.00081965816,0.00464329,0.0035269218,0.19302922,0.24582711,0.0016132863,0.53425956
0.013680598,0.0011080066,0.0035754733,0.0024399112,0.13453451,0.43047103,0.0012230888,0.41296732
0.0062024943,0.00047349586,0.0017640194,0.001049305,0.118822046,0.70865864,0.0009165958,0.16211332
0.0031821697,0.00035109714,0.0012991023,0.0006191205,0.07582603,0.8315841,0.0005186012,0.08661973
0.0011178014,0.00022352923,0.00062095013,0.00023842878,0.0362187,0.927177,0.00016575947,0.03423783
0.0002626666,6.98828e-05,0.0002190505,4.9669296e-05,0.014935404,0.9714636,4.403176e-05,0.012955782
0.0001271285,4.0458286e-05,0.00020591471,2.088332e-05,0.010898229,0.9791229,2.5763959e-05,0.009558716
6.74285e-05,2.8173108e-05,0.00010151091,9.59913e-06,0.0060226023,0.9882522,1.2842287e-05,0.0055056238
3.6581514e-05,2.2000326e-05,2.9126302e-05,2.475634e-06,0.0021355196,0.99478525,6.264247e-06,0.0029826867
1.5656853e-05,1.1031511e-05,9.850406e-06,6.7225557e-07,0.00077147543,0.9977843,2.5773682e-06,0.001404481
8.100037e-06,9.436762e-06,7.742824e-06,2.8524832e-07,0.0003633673,0.998931,9.834747e-07,0.0006791207
5.0283497e-06,1.0004513e-05,2.1207677e-06,4.8123407e-08,8.486522e-05,0.99956495,3.1982427e-07,0.0003326863
3.1498696e-06,7.1590157e-06,6.632942e-07,1.137167e-08,2.0340898e-05,0.9998554,9.7407266e-08,0.00011320373
