,.,가다,동대문,따뜻하다,먹다,수제비,오늘
0.0015559107,3.3781055e-06,4.8892434e-06,2.9428752e-06,7.1236536e-05,0.9958825,2.2983575e-06,0.0024769884
1.3192691e-09,2.6064606e-10,4.121531e-09,1.4731733e-11,3.2027314e-10,1.0,1.093678e-11,8.027361e-10
1.6129139e-08,2.547905e-09,2.4079146e-08,2.4768956e-10,4.779063e-09,1.0,2.3082582e-10,1.7476486e-08
7.41524e-09,1.270402e-09,1.4018344e-08,1.1449002e-10,2.3958877e-09,1.0,1.0372986e-10,9.0499395e-09
1.666022e-08,2.7752098e-09,2.7054172e-08,2.8028974e-10,5.0832316e-09,1.0,2.4706626e-10,1.6595868e-08
8.031533e-08,8.7521315e-09,6.7249736e-08,1.0284554e-09,2.5621455e-08,0.99999976,1.0194812e-09,8.980765e-08
8.778967e-09,1.4460485e-09,1.5523701e-08,1.0379319e-10,2.9279148e-09,1.0,1.03652725e-10,9.117875e-09
6.791513e-08,9.110833e-09,7.8310705e-08,1.2447349e-09,2.0009157e-08,0.99999976,1.0508724e-09,5.9146984e-08
1.5514821e-08,2.3133633e-09,2.662859e-08,1.6198984e-10,4.227648e-09,1.0,1.4249928e-10,8.74239e-09
2.5629815e-08,3.2855254e-09,3.695681e-08,2.4577745e-10,6.47245e-09,0.9999999,2.221719e-10,1.29925475e-08
1.3514082e-08,2.1839577e-09,2.5863818e-08,1.4792025e-10,3.7642383e-09,1.0,1.3417115e-10,7.734403e-09
5.9421517e-09,1.2148509e-09,1.7318898e-08,7.4559074e-11,1.7923776e-09,1.0,6.489676e-11,3.5343877e-09
3.5930465e-09,8.1726914e-10,1.0498414e-08,4.4883878e-11,1.2209882e-09,1.0,4.4220395e-11,3.0392466e-09
1.9016508e-07,2.128022e-07,1.5324143e-06,4.6472697e-09,2.7198892e-06,0.9999876,2.3048795e-08,7.802359e-06
6.7452035e-09,1.2409238e-08,1.4762676e-07,9.79255e-11,1.4060625e-08,0.9999999,2.6036928e-10,2.2493383e-08
3.4651464e-09,9.9247295e-09,2.1942913e-07,4.894881e-11,5.442132e-09,0.99999976,1.197145e-10,5.078036e-09
1.8240263e-06,1.9330948e-06,3.136862e-05,1.0046151e-07,0.001703121,0.9979231,3.804308e-07,0.00033820976
3.116671e-09,9.46981e-09,2.2906126e-07,3.9125862e-11,9.0620285e-09,0.99999976,8.60725e-11,5.138169e-09
3.865148e-10,3.0030363e-09,7.086787e-09,1.9224203e-12,2.3823024e-10,1.0,2.7075128e-12,2.195467e-10
8.1031196e-11,3.7123435e-10,3.0907075e-09,4.4096706e-13,5.973156e-11,1.0,5.9347205e-13,5.95525e-11
2.5108005e-10,1.2986622e-09,4.183626e-09,1.5752531e-12,1.8528494e-10,1.0,2.2329367e-12,2.4024668e-10
3.915947e-11,2.2821146e-10,7.1441375e-10,1.6151846e-13,2.0682085e-11,1.0,2.1550291e-13,3.5373583e-11
9.301685e-12,4.8000694e-11,1.4020603e-10,3.144093e-14,4.874281e-12,1.0,5.906813e-14,1.9288968e-11
7.2442885e-11,4.0392756e-10,1.0474387e-09,4.132606e-13,3.456134e-11,1.0,4.64761e-13,7.4460445e-11
3.822661e-10,1.5770111e-09,2.1992905e-09,4.4421055e-12,1.0026406e-09,1.0,3.2728445e-11,2.325934e-08
5.1842286e-10,3.0569902e-09,5.105405e-09,4.1148166e-12,2.455643e-10,1.0,4.684958e-12,5.055508e-10
2.3011895e-10,1.0521362e-09,2.1597368e-09,1.8911077e-12,1.2016864e-10,1.0,2.7306588e-12,4.554396e-10
4.8395005e-10,2.532353e-09,3.7286525e-09,3.8161228e-12,2.1932738e-10,1.0,4.6311978e-12,7.006759e-10
4.7504334e-10,2.6453573e-09,3.798323e-09,3.8769795e-12,2.1468805e-10,1.0,4.6146385e-12,6.5311423e-10
5.9585487e-10,3.2978882e-09,4.618212e-09,5.0035475e-12,2.7000638e-10,1.0,5.9757286e-12,8.2327384e-10
7.593589e-10,4.3333968e-09,5.8234533e-09,6.290907e-12,3.4187708e-10,1.0,7.393945e-12,9.1913804e-10
8.220484e-10,4.8406754e-09,6.4854264e-09,6.9913996e-12,3.637278e-10,1.0,7.9462496e-12,9.304516e-10
1.0286557e-09,5.874212e-09,7.8201285e-09,9.218216e-12,5.088846e-10,1.0,1.1292649e-11,1.3784034e-09
9.072973e-10,5.1409934e-09,6.6067587e-09,7.859922e-12,4.2789652e-10,1.0,9.528301e-12,1.240462e-09
1.114695e-09,6.422413e-09,8.19408e-09,1.0123072e-11,5.581909e-10,1.0,1.2386946e-11,1.5307322e-09
9.873334e-10,5.8686793e-09,7.891179e-09,8.380115e-12,4.827608e-10,1.0,9.980375e-12,1.1425383e-09
8.701407e-11,3.2416464e-10,1.9827442e-09,8.525565e-13,5.935281e-11,1.0,9.412151e-13,1.1261681e-10
1.2875725e-10,4.8981164e-10,2.9292107e-09,1.3713681e-12,8.950502e-11,1.0,1.4646164e-12,1.5653528e-10
7.771587e-11,3.1631675e-10,1.9943427e-09,8.333362e-13,5.4923902e-11,1.0,8.6562235e-13,1.04183724e-10
1.08090384e-10,3.7615736e-10,2.5026878e-09,1.1050697e-12,7.334702e-11,1.0,1.125366e-12,1.2431378e-10
1.7251237e-09,1.10498135e-08,1.2407773e-08,1.5004309e-11,8.4896035e-10,1.0,1.8181654e-11,1.873358e-09
1.361103e-09,9.6854e-09,1.2094875e-08,1.2810974e-11,6.17762e-10,1.0,1.32634745e-11,1.1075192e-09
9.654649e-10,7.643406e-09,9.583048e-09,8.660224e-12,4.1290274e-10,1.0,8.632765e-12,6.797521e-10
1.2532183e-09,1.2795023e-08,1.4756616e-08,1.1935813e-11,5.35781e-10,1.0,1.0339558e-11,6.357073e-10
2.0143482e-09,1.7349977e-08,2.059516e-08,2.0157145e-11,1.0008885e-09,1.0,2.0512059e-11,1.4089291e-09
6.597261e-10,3.546563e-09,8.529438e-09,5.679048e-12,3.49867e-10,1.0,6.055655e-12,5.077696e-10
